time,open,high,low,close,Volume,Volume MA
2020-06-29T17:00:00Z,1.2,1.2,1.18,1.18,15335.34430042,109889.710252783
2020-06-30T17:00:00Z,1.19,1.28,1.15,1.22,62221.53305116,85543.731361083
2020-07-01T17:00:00Z,1.23,1.26,1.23,1.23,85200.72007185,82895.85238637449
2020-07-02T17:00:00Z,1.24,1.25,1.18,1.2,14130.36504767,81909.74845124099
2020-07-03T17:00:00Z,1.23,1.23,1.2,1.2,326.13821137,77718.70807820049
2020-07-04T17:00:00Z,1.2,1.2,1.2,1.2,386.62790697,67881.87607866948
2020-07-05T17:00:00Z,1.2,1.23,1.19,1.23,14710.60885894,63828.38344100048
2020-07-06T17:00:00Z,1.21,1.24,1.21,1.21,22933.7945018,56013.46522328448
2020-07-07T17:00:00Z,1.24,1.3,1.23,1.28,134866.69883899,60999.46001716899
2020-07-08T17:00:00Z,1.28,1.3,1.25,1.29,49179.69334632,55930.08064475648
2020-07-09T17:00:00Z,1.27,1.28,1.24,1.26,45221.04862312,57272.10417309748
2020-07-10T17:00:00Z,1.26,1.29,1.26,1.27,23086.80518772,48956.48771222148
2020-07-11T17:00:00Z,1.26,1.29,1.25,1.28,37641.08340322,44581.35192506249
2020-07-12T17:00:00Z,1.29,1.31,1.27,1.29,102940.21290663,48880.37160977949
2020-07-13T17:00:00Z,1.28,1.29,1.26,1.29,31260.14255553,47844.893900232986
2020-07-14T17:00:00Z,1.29,1.29,1.29,1.29,367.31557889,47140.919081586486
2020-07-15T17:00:00Z,1.27,1.29,1.23,1.25,26704.30542369,47748.45440957198
2020-07-16T17:00:00Z,1.25,1.27,1.25,1.25,12409.30906426,46214.12132854748
2020-07-17T17:00:00Z,1.26,1.26,1.23,1.24,91964.61595116,46459.24593619248
2020-07-18T17:00:00Z,1.24,1.3,1.24,1.28,133825.14840421,45235.57556169598
2020-07-19T17:00:00Z,1.28,1.38,1.26,1.28,107270.52390287,49832.334541818476
2020-07-20T17:00:00Z,1.3,1.7,1.29,1.55,423985.00482772,67920.50813064647
2020-07-21T17:00:00Z,1.47,1.55,1.43,1.5,56796.10436138,66500.27734512297
2020-07-22T17:00:00Z,1.51,1.58,1.43,1.58,147841.01197528,73185.80969150348
2020-07-23T17:00:00Z,1.52,1.55,1.5,1.5,47480.17772837,75543.51166735348
2020-07-24T17:00:00Z,1.5,1.55,1.45,1.49,340759.24419495,92562.14248175248
2020-07-25T17:00:00Z,1.5,1.5,1.36,1.43,363029.75646143,109978.099861877
2020-07-26T17:00:00Z,1.43,1.43,1.23,1.23,318395.26779957,124751.1735267655
2020-07-27T17:00:00Z,1.24,1.37,1.24,1.33,138210.19109062,124918.348139347
2020-07-28T17:00:00Z,1.33,1.57,1.31,1.55,650078.5156659,154963.28925532597
2020-07-29T17:00:00Z,1.5,1.56,1.43,1.49,234705.90286249,164437.5319672945
2020-07-30T17:00:00Z,1.49,1.49,1.37,1.38,370479.5048785,181807.1669518335
2020-07-31T17:00:00Z,1.43,1.46,1.38,1.43,177618.85056939,188806.055310142
2020-08-01T17:00:00Z,1.43,1.48,1.38,1.38,455284.80838447,206423.28508403403
2020-08-02T17:00:00Z,1.4,1.45,1.39,1.42,270028.79616216,218361.7177643655
